id,functional,functional needs repair,non functional,prob_repair_needed,prob_repair_needed_people
50785,0.38,0.06,0.56,0.6200000000000001,199.02000000000004
51630,0.69,0.22,0.09,0.31,93.0
17168,0.71,0.11,0.18,0.29,145.0
45559,0.0,0.0,1.0,1.0,250.0
49871,1.0,0.0,0.0,0.0,0.0
52449,0.96,0.0,0.04,0.04,8.0
24806,0.42,0.0,0.58,0.58,348.0
28965,0.0,0.0,1.0,1.0,1.0
36301,0.11,0.06,0.83,0.8899999999999999,35.599999999999994
54122,0.99,0.0,0.01,0.01,0.01
419,0.99,0.0,0.01,0.01,0.75
45750,0.01,0.0,0.99,0.99,495.0
653,0.03,0.04,0.93,0.9700000000000001,0.0
14017,0.05,0.0,0.95,0.95,0.0
44607,0.98,0.01,0.01,0.02,0.02
40228,0.93,0.06,0.01,0.06999999999999999,0.0
27714,0.51,0.25,0.24,0.49,441.0
28785,0.56,0.0,0.44,0.44,0.44
28330,0.48,0.49,0.03,0.52,0.0
18532,0.01,0.01,0.98,0.99,297.0
69961,0.83,0.06,0.11,0.16999999999999998,20.4
55083,0.39,0.08,0.53,0.61,18.3
8691,0.01,0.0,0.99,0.99,1732.5
30331,0.0,0.0,1.0,1.0,1.0
70970,0.89,0.02,0.09,0.11,0.0
61136,1.0,0.0,0.0,0.0,0.0
28799,0.0,0.0,1.0,1.0,0.0
46825,0.0,0.0,1.0,1.0,0.0
44718,0.2,0.8,0.0,0.8,0.0
37350,0.59,0.11,0.3,0.41,352.59999999999997
65738,0.93,0.01,0.06,0.06999999999999999,13.999999999999998
3271,0.0,0.0,1.0,1.0,0.0
42658,0.58,0.02,0.4,0.42000000000000004,0.0
67523,0.99,0.0,0.01,0.01,3.0
37034,0.88,0.11,0.01,0.12,43.199999999999996
42432,0.87,0.13,0.0,0.13,5.8500000000000005
27420,0.88,0.0,0.12,0.12,24.0
707,0.36,0.59,0.05,0.64,28.8
48489,0.22,0.12,0.66,0.78,0.78
51008,0.0,0.01,0.99,1.0,0.0
72562,0.52,0.01,0.47,0.48,192.0
10275,0.68,0.01,0.31,0.32,38.4
53540,0.01,0.0,0.99,0.99,0.0
43291,0.08,0.01,0.91,0.92,0.0
8813,1.0,0.0,0.0,0.0,0.0
62343,0.0,0.0,1.0,1.0,0.0
1649,0.67,0.03,0.3,0.32999999999999996,0.0
8822,0.69,0.19,0.12,0.31,55.8
10352,0.43,0.07,0.5,0.5700000000000001,0.0
50878,0.66,0.3,0.04,0.33999999999999997,0.0
15266,0.94,0.05,0.01,0.060000000000000005,0.0
51956,0.66,0.19,0.15,0.33999999999999997,0.33999999999999997
44099,0.36,0.0,0.64,0.64,0.64
59,0.09,0.02,0.89,0.91,0.0
51359,0.28,0.04,0.68,0.7200000000000001,381.6
15962,0.01,0.0,0.99,0.99,0.0
17853,0.27,0.66,0.07,0.73,876.0
42040,0.05,0.0,0.95,0.95,0.95
72243,0.5,0.01,0.49,0.5,125.0
63653,0.27,0.03,0.7,0.73,146.0
26510,0.98,0.0,0.02,0.02,0.0
72053,0.76,0.19,0.05,0.24,0.0
29351,0.94,0.01,0.05,0.060000000000000005,33.6
51897,0.0,0.0,1.0,1.0,1.0
20376,0.98,0.0,0.02,0.02,0.0
26804,1.0,0.0,0.0,0.0,0.0
67303,0.86,0.02,0.12,0.13999999999999999,20.999999999999996
69780,0.0,0.0,1.0,1.0,1.0
45374,0.81,0.18,0.01,0.19,0.0
54665,0.12,0.0,0.88,0.88,0.88
39341,0.0,0.0,1.0,1.0,950.0
8869,0.02,0.98,0.0,0.98,0.98
20691,0.86,0.01,0.13,0.14,0.0
19693,0.01,0.01,0.98,0.99,218.79
14321,0.14,0.01,0.85,0.86,43.0
63059,0.53,0.42,0.05,0.47,0.0
